FIELD	KIND	PATH	LINE	COLUMN	VARIABLE	EXPRESSION	SOURCE
MailScan	read	mbsetup/m_users.c	1114	59	usrconfig	usrconfig.MailScan	"add_webtable(wp, (char *)""Scan new mail"", getboolean(usrconfig.MailScan));"
MailScan	write	fortytwo-auth/src/legacy_userdb_provision.c	435	5	record	record->MailScan	record->MailScan = registration->defaults.mail_scan ? 1U : 0U;
MailScan	write	mbsebbs/change.c	371	2	exitinfo	exitinfo.MailScan	exitinfo.MailScan = FALSE;
MailScan	write	mbsebbs/change.c	375	2	exitinfo	exitinfo.MailScan	exitinfo.MailScan = TRUE;
MailScan	write	mbsebbs/newuser.c	466	14	usrconfig	usrconfig.MailScan	case NO:    usrconfig.MailScan = FALSE;
MailScan	write	mbsebbs/newuser.c	468	14	usrconfig	usrconfig.MailScan	case YES:   usrconfig.MailScan = TRUE;
MailScan	write	mbsebbs/newuser.c	479	8	usrconfig	usrconfig.MailScan	usrconfig.MailScan = TRUE;
MailScan	write	mbsebbs/newuser.c	483	8	usrconfig	usrconfig.MailScan	usrconfig.MailScan = FALSE;
MailScan	write	mbsetup/m_users.c	693	34	usrconfig	usrconfig.MailScan	"case 21:E_BOOL(13,71,usrconfig.MailScan,     ""Don't check for ^new mail^""); break;"
More	read	mbsetup/m_users.c	619	21	usrconfig	usrconfig.More	show_bool(11,71,   usrconfig.More);
More	read	mbsetup/m_users.c	1112	57	usrconfig	usrconfig.More	"add_webtable(wp, (char *)""More prompt"", getboolean(usrconfig.More));"
More	write	fortytwo-auth/src/legacy_userdb_provision.c	434	5	record	record->More	record->More = 1U;
More	write	mbsebbs/newuser.c	521	5	usrconfig	usrconfig.More	usrconfig.More         = TRUE;
More	write	mbsetup/m_users.c	690	34	usrconfig	usrconfig.More	"case 19:E_BOOL(11,71,usrconfig.More,         ""User uses the ^More prompt^""); break;"
MsgEditor	read	mbsebbs/change.c	428	48	exitinfo	exitinfo.MsgEditor	"snprintf(temp, 81, "" %s "", Language(387 + (exitinfo.MsgEditor & 3)));"
MsgEditor	read	mbsebbs/change.c	460	48	exitinfo	exitinfo.MsgEditor	"snprintf(temp, 81, "" %s "", Language(387 + (exitinfo.MsgEditor & 3)));"
MsgEditor	read	mbsebbs/dispfile.c	536	10	exitinfo	exitinfo.MsgEditor	switch(exitinfo.MsgEditor) {
MsgEditor	read	mbsebbs/mail.c	387	13	exitinfo	exitinfo.MsgEditor	switch (exitinfo.MsgEditor) {
MsgEditor	read	mbsetup/m_users.c	620	24	usrconfig	usrconfig.MsgEditor	show_msgeditor(12,71, usrconfig.MsgEditor);
MsgEditor	read	mbsetup/m_users.c	691	64	usrconfig	usrconfig.MsgEditor	case 20:usrconfig.MsgEditor = edit_msgeditor(12,71,usrconfig.MsgEditor);
MsgEditor	read	mbsetup/m_users.c	1113	62	usrconfig	usrconfig.MsgEditor	"add_webtable(wp, (char *)""Message editor"", getmsgeditor(usrconfig.MsgEditor));"
MsgEditor	write	fortytwo-auth/src/legacy_userdb_provision.c	442	5	record	record->MsgEditor	record->MsgEditor = registration->defaults.message_editor;
MsgEditor	write	mbsebbs/change.c	444	2	exitinfo	exitinfo.MsgEditor	exitinfo.MsgEditor = LINEEDIT;
MsgEditor	write	mbsebbs/change.c	447	2	exitinfo	exitinfo.MsgEditor	exitinfo.MsgEditor = FSEDIT;
MsgEditor	write	mbsebbs/change.c	450	2	exitinfo	exitinfo.MsgEditor	exitinfo.MsgEditor = EXTEDIT;
MsgEditor	write	mbsebbs/newuser.c	107	2	usrconfig	usrconfig.MsgEditor	usrconfig.MsgEditor = EXTEDIT;
MsgEditor	write	mbsebbs/newuser.c	109	2	usrconfig	usrconfig.MsgEditor	usrconfig.MsgEditor = FSEDIT;
MsgEditor	write	mbsetup/m_users.c	691	21	usrconfig	usrconfig.MsgEditor	case 20:usrconfig.MsgEditor = edit_msgeditor(12,71,usrconfig.MsgEditor);
MsgEditor	write	mbutils/mbuser.c	345	7	usr	usr.MsgEditor	usr.MsgEditor = EXTEDIT;
MsgEditor	write	mbutils/mbuser.c	347	7	usr	usr.MsgEditor	usr.MsgEditor = FSEDIT;
Name	metadata	fortytwo-auth/src/legacy_userdb.c	662	59	record	record.Name	if (!fixed_text_is_terminated(record.Name, sizeof(record.Name)) ||
Name	metadata	fortytwo-auth/src/legacy_userdb_provision.c	1194	59	record	record.Name	if (!fixed_text_is_terminated(record.Name, sizeof(record.Name)) ||
Name	metadata	fortytwo-auth/src/legacy_userdb_provision.c	2371	57	record	record.Name	return fixed_text_is_terminated(record.Name, sizeof(record.Name)) &&
Name	read	fortytwo-auth/src/legacy_userdb.c	662	39	record	record.Name	if (!fixed_text_is_terminated(record.Name, sizeof(record.Name)) ||
Name	read	fortytwo-auth/src/legacy_userdb.c	684	34	record	record.Name	"""%s"", record.Name);"
Name	read	fortytwo-auth/src/legacy_userdb.c	689	28	record	record.Name[0]	audit->empty = record.Name[0] == '\0';
Name	read	fortytwo-auth/src/legacy_userdb.c	703	13	record	record.Name[0]	if (record.Name[0] != '\0') {
Name	read	fortytwo-auth/src/legacy_userdb.c	705	66	record	record.Name	"sizeof(names[name_count].name), ""%s"", record.Name);"
Name	read	fortytwo-auth/src/legacy_userdb.c	711	32	record	record.Name	ascii_case_compare(record.Name, query->legacy_name) == 0) {
Name	read	fortytwo-auth/src/legacy_userdb_provision.c	550	31	record	record->Name	return ascii_case_compare(record->Name, value) == 0 ||
Name	read	fortytwo-auth/src/legacy_userdb_provision.c	1194	39	record	record.Name	if (!fixed_text_is_terminated(record.Name, sizeof(record.Name)) ||
Name	read	fortytwo-auth/src/legacy_userdb_provision.c	1226	13	record	record.Name[0]	if (record.Name[0] != '\0') {
Name	read	fortytwo-auth/src/legacy_userdb_provision.c	1228	66	record	record.Name	"sizeof(names[name_count].name), ""%s"", record.Name);"
Name	read	fortytwo-auth/src/legacy_userdb_provision.c	2371	37	record	record.Name	return fixed_text_is_terminated(record.Name, sizeof(record.Name)) &&
Name	read	fortytwo-auth/src/legacy_userdb_provision.c	2378	19	record	record.Name	strcmp(record.Name, prepared->legacy_name) == 0 &&
Name	read	lib/dbuser.c	78	14	usr	usr.Name	(strcmp(usr.Name, Name) == 0)) {
Name	read	mbfido/ftn2rfc.c	238	35	usr	usr.Name	"snprintf(buf, size, ""%s@%s"", usr.Name, CFG.sysdomain);"
Name	read	mbfido/mbmsg.c	341	36	usrconfig	usrconfig.Name	if (usrconfig.Email && strlen(usrconfig.Name)) {
Name	read	mbfido/mbmsg.c	343	59	usrconfig	usrconfig.Name	"snprintf(Name, PATH_MAX, ""User %s email area: mailbox"", usrconfig.Name);"
Name	read	mbfido/mbmsg.c	349	65	usrconfig	usrconfig.Name	"snprintf(sAreas, PATH_MAX, ""%s/%s/mailbox"", CFG.bbs_usersdir, usrconfig.Name);"
Name	read	mbfido/mbmsg.c	362	65	usrconfig	usrconfig.Name	"snprintf(sAreas, PATH_MAX, ""%s/%s/archive"", CFG.bbs_usersdir, usrconfig.Name);"
Name	read	mbfido/mbmsg.c	363	53	usrconfig	usrconfig.Name	"snprintf(Name, 80, ""User %s email area: archive"", usrconfig.Name);"
Name	read	mbfido/mbmsg.c	375	63	usrconfig	usrconfig.Name	"snprintf(sAreas, PATH_MAX, ""%s/%s/trash"", CFG.bbs_usersdir, usrconfig.Name);"
Name	read	mbfido/mbmsg.c	376	51	usrconfig	usrconfig.Name	"snprintf(Name, 80, ""User %s email area: trash"", usrconfig.Name);"
Name	read	mbfido/scan.c	171	36	usrconfig	usrconfig.Name	if (usrconfig.Email && strlen(usrconfig.Name)) {
Name	read	mbfido/scan.c	176	29	usrconfig	usrconfig.Name	"printf(""\r%8s %-40s"", usrconfig.Name, usrconfig.sUserName);"
Name	read	mbfido/scan.c	181	65	usrconfig	usrconfig.Name	"snprintf(sAreas, PATH_MAX, ""%s/%s/mailbox"", CFG.bbs_usersdir, usrconfig.Name);"
Name	read	mbfido/scan.c	198	57	usrconfig	usrconfig.Name	"Syslog('m', ""Export %lu email from %s"", Number, usrconfig.Name);"
Name	read	mbnntp/auth.c	155	13	usrconfig	usrconfig.Name	if (strcmp(usrconfig.Name, username) == 0) {
Name	read	mbnntp/auth.c	207	18	usrconfig	usrconfig.Name	UserCity(mypid, usrconfig.Name, usrconfig.sLocation);
Name	read	mbnntp/auth.c	209	18	usrconfig	usrconfig.Name	"UserCity(mypid, usrconfig.Name, (char *)""N/A"");"
Name	read	mbsebbs/bye.c	198	64	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/.quote"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/bye.c	201	66	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/data.msg"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/bye.c	204	66	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/door.sys"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/bye.c	207	68	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/door32.sys"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/bye.c	210	70	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/dorinfo1.def"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/change.c	211	64	exitinfo	exitinfo.Name	"Syslog('+', ""%s/bin/mbpasswd %s ******"", getenv(""MBSE_ROOT""), exitinfo.Name);"
Name	read	mbsebbs/change.c	215	12	exitinfo	exitinfo.Name	args[1] = exitinfo.Name;
Name	read	mbsebbs/chat.c	239	30	exitinfo	exitinfo.Name	name  = xstrcpy(clencode(exitinfo.Name));
Name	read	mbsebbs/door.c	156	62	exitinfo	exitinfo.Name	"snprintf(temp1, PATH_MAX, ""%s/%s"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/door.c	161	41	exitinfo	exitinfo.Name	"snprintf(temp1, PATH_MAX, ""%s"", exitinfo.Name);"
Name	read	mbsebbs/door.c	196	67	exitinfo	exitinfo.Name	"snprintf(temp1, PATH_MAX, ""%s/%s/door.sys"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/door.c	277	69	exitinfo	exitinfo.Name	"snprintf(temp1, PATH_MAX, ""%s/%s/door32.sys"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/door.c	315	71	exitinfo	exitinfo.Name	"snprintf(temp1, PATH_MAX, ""%s/%s/dorinfo1.def"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/email.c	216	68	exitinfo	exitinfo.Name	"snprintf(p, PATH_MAX, ""%s/%s/wrk/%s_%u.msg"", CFG.bbs_usersdir, exitinfo.Name, sMailbox, Num);"
Name	read	mbsebbs/email.c	327	68	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/.signature"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/email.c	368	54	exitinfo	exitinfo.Name	"fprintf(fp, ""%s/%s/mailbox %u\n"", CFG.bbs_usersdir, exitinfo.Name, Msg.Id);"
Name	read	mbsebbs/email.c	422	62	exitinfo	exitinfo.Name	"snprintf(fn, PATH_MAX, ""%s/%s/.quote"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/email.c	761	40	exitinfo	exitinfo.Name	"snprintf(Msg.From, 101, ""%s@%s (%s)"", exitinfo.Name, CFG.sysdomain, exitinfo.sUserName);"
Name	read	mbsebbs/email.c	831	63	exitinfo	exitinfo.Name	"snprintf(tmp, PATH_MAX, ""%s/%s/.quote"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/email.c	893	40	exitinfo	exitinfo.Name	"snprintf(Msg.From, 101, ""%s@%s (%s)"", exitinfo.Name, CFG.sysdomain, exitinfo.sUserName);"
Name	read	mbsebbs/email.c	1092	65	exitinfo	exitinfo.Name	"snprintf(sMailpath, PATH_MAX, ""%s/%s/%s"", CFG.bbs_usersdir, exitinfo.Name, p);"
Name	read	mbsebbs/file.c	190	65	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""-rf %s/%s/tag"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/file.c	192	61	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/tag"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/file.c	306	74	exitinfo	exitinfo.Name	"snprintf(local, PATH_MAX, ""%s/%s/tag/filedesc.%d"", CFG.bbs_usersdir, exitinfo.Name, exitinfo.Downloads % 256);"
Name	read	mbsebbs/file.c	958	58	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/upl"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/file.c	1070	61	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/wrk"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/file.c	1088	62	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/wrk"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/file.c	1141	62	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/wrk/"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/file.c	1246	64	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/wrk/%s"", CFG.bbs_usersdir, exitinfo.Name, File);"
Name	read	mbsebbs/file.c	1298	58	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/upl"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/file.c	1635	63	exitinfo	exitinfo.Name	"snprintf(temp2, PATH_MAX, ""%s/%s/wrk/%s"", CFG.bbs_usersdir, exitinfo.Name, File);"
Name	read	mbsebbs/file.c	1932	62	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/temptxt"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/filesub.c	470	57	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/filesub.c	486	64	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/upl/%s"", CFG.bbs_usersdir, exitinfo.Name, fn);"
Name	read	mbsebbs/filesub.c	529	64	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/upl/%s"", CFG.bbs_usersdir, exitinfo.Name, fn);"
Name	read	mbsebbs/filesub.c	566	61	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/tmp"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/filesub.c	580	61	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/upl/%s"", CFG.bbs_usersdir, exitinfo.Name, fn);"
Name	read	mbsebbs/filesub.c	601	61	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/tmp"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/filesub.c	603	61	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/tmp/%s"", CFG.bbs_usersdir, exitinfo.Name, fid);"
Name	read	mbsebbs/filesub.c	605	71	exitinfo	exitinfo.Name	"snprintf(temp2, PATH_MAX, ""%s/%s/wrk/FILE_ID.DIZ"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/filesub.c	616	57	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/filesub.c	618	67	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""-r -f %s/%s/tmp"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/filesub.c	862	31	exitinfo	exitinfo.Name	idname = xstrcat(idname, exitinfo.Name);
Name	read	mbsebbs/filesub.c	1051	61	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/wrk"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/filesub.c	1080	65	exitinfo	exitinfo.Name	"snprintf(temp1, PATH_MAX, ""%s/%s/wrk/%s"", CFG.bbs_usersdir, exitinfo.Name, fn);"
Name	read	mbsebbs/filesub.c	1081	65	exitinfo	exitinfo.Name	"snprintf(temp2, PATH_MAX, ""%s/%s/upl/%s"", CFG.bbs_usersdir, exitinfo.Name, fn);"
Name	read	mbsebbs/fsedit.c	680	70	exitinfo	exitinfo.Name	"snprintf(tmpname, PATH_MAX, ""%s/%s/wrk/%s"", CFG.bbs_usersdir, exitinfo.Name, filname);"
Name	read	mbsebbs/funcs.c	236	44	exitinfo	exitinfo.Name	"fprintf(fp, ""    email: %s@%s\n"", exitinfo.Name, CFG.sysdomain);"
Name	read	mbsebbs/mail.c	367	64	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/.quote"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/mail.c	453	41	exitinfo	exitinfo.Name	"snprintf(Msg.From, 101, ""%s@%s (%s)"", exitinfo.Name, CFG.sysdomain, exitinfo.sUserName);"
Name	read	mbsebbs/mail.c	1152	65	exitinfo	exitinfo.Name	"snprintf(p, PATH_MAX, ""%s/%s/wrk/%d_%u.msg"", CFG.bbs_usersdir, exitinfo.Name, iMsgAreaNumber + 1, Num);"
Name	read	mbsebbs/mail.c	1316	62	exitinfo	exitinfo.Name	"snprintf(fn, PATH_MAX, ""%s/%s/.quote"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/mail.c	1685	41	exitinfo	exitinfo.Name	"snprintf(Msg.From, 101, ""%s@%s (%s)"", exitinfo.Name, CFG.sysdomain, exitinfo.sUserName);"
Name	read	mbsebbs/mail.c	1774	60	exitinfo	exitinfo.Name	"snprintf(tmp, PATH_MAX, ""%s/%s/.quote"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/mail.c	1870	20	exitinfo	exitinfo.Name	if (strcasecmp(p, exitinfo.Name) == 0)
Name	read	mbsebbs/mail.c	2523	16	exitinfo	exitinfo.Name	check_popmail(exitinfo.Name, exitinfo.Password);
Name	read	mbsebbs/mail.c	2528	62	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/mailbox"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/mail.c	2915	69	exitinfo	exitinfo.Name	"snprintf(tmpname, PATH_MAX, ""%s/%s/data.msg"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/mail.c	2935	69	exitinfo	exitinfo.Name	"snprintf(tmpname, PATH_MAX, ""%s/%s/edit.msg"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/menu.c	197	9	exitinfo	exitinfo.Name	"Chat(exitinfo.Name, (char *)""#sysop"");"
Name	read	mbsebbs/misc.c	197	32	exitinfo	exitinfo.Name	"snprintf(LCALL.Name, 9, ""%s"", exitinfo.Name);"
Name	read	mbsebbs/msgutil.c	273	65	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/.signature"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	247	69	exitinfo	exitinfo.Name	"snprintf(Tagname, PATH_MAX, ""%s/%s/.olrtags"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	387	69	exitinfo	exitinfo.Name	"snprintf(Tagname, PATH_MAX, ""%s/%s/.olrtags"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	590	69	exitinfo	exitinfo.Name	"snprintf(Tagname, PATH_MAX, ""%s/%s/.olrtags"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	735	69	exitinfo	exitinfo.Name	"snprintf(Tagname, PATH_MAX, ""%s/%s/.olrtags"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	830	16	exitinfo	exitinfo.Name	check_popmail(exitinfo.Name, exitinfo.Password);
Name	read	mbsebbs/offline.c	837	66	exitinfo	exitinfo.Name	"snprintf(Temp, PATH_MAX, ""%s/%s/.olrtags"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	1002	64	exitinfo	exitinfo.Name	"snprintf(Dirpath, PATH_MAX, ""%s/%s/upl"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	1097	60	exitinfo	exitinfo.Name	"snprintf(Dirpath, PATH_MAX, ""%s/%s"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	1213	61	exitinfo	exitinfo.Name	"snprintf(Work, PATH_MAX, ""%s/%s/tmp"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	1269	66	exitinfo	exitinfo.Name	"snprintf(Temp, PATH_MAX, ""%s/%s/.olrtags"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	1411	66	exitinfo	exitinfo.Name	"snprintf(Temp, PATH_MAX, ""%s/%s/tmp/%s"", CFG.bbs_usersdir, exitinfo.Name, Pktname);"
Name	read	mbsebbs/offline.c	1476	60	exitinfo	exitinfo.Name	"snprintf(Dirpath, PATH_MAX, ""%s/%s"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	1592	63	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/%s"", CFG.bbs_usersdir, exitinfo.Name, Upr.filename);"
Name	read	mbsebbs/offline.c	1699	69	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/.olrtags"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	1766	69	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/.olrtags"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	1854	68	exitinfo	exitinfo.Name	"snprintf(Temp, PATH_MAX, ""%s/%s/tmp/%s.FTI"", CFG.bbs_usersdir, exitinfo.Name, CFG.bbsid);"
Name	read	mbsebbs/offline.c	1858	68	exitinfo	exitinfo.Name	"snprintf(Temp, PATH_MAX, ""%s/%s/tmp/%s.MIX"", CFG.bbs_usersdir, exitinfo.Name, CFG.bbsid);"
Name	read	mbsebbs/offline.c	1862	68	exitinfo	exitinfo.Name	"snprintf(Temp, PATH_MAX, ""%s/%s/tmp/%s.DAT"", CFG.bbs_usersdir, exitinfo.Name, CFG.bbsid);"
Name	read	mbsebbs/offline.c	2003	61	exitinfo	exitinfo.Name	"snprintf(Work, PATH_MAX, ""%s/%s/tmp"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	2015	66	exitinfo	exitinfo.Name	"snprintf(Temp, PATH_MAX, ""%s/%s/.olrtags"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	2171	66	exitinfo	exitinfo.Name	"snprintf(Temp, PATH_MAX, ""%s/%s/tmp/%s"", CFG.bbs_usersdir, exitinfo.Name, Pktname);"
Name	read	mbsebbs/offline.c	2224	60	exitinfo	exitinfo.Name	"snprintf(Dirpath, PATH_MAX, ""%s/%s"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	2266	69	exitinfo	exitinfo.Name	"snprintf(otemp, PATH_MAX, ""%s/%s/.olrtags"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	2533	61	exitinfo	exitinfo.Name	"snprintf(Work, PATH_MAX, ""%s/%s/tmp"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	2728	61	exitinfo	exitinfo.Name	"snprintf(Work, PATH_MAX, ""%s/%s/tmp"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	2739	66	exitinfo	exitinfo.Name	"snprintf(Temp, PATH_MAX, ""%s/%s/.olrtags"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/offline.c	2750	69	exitinfo	exitinfo.Name	"snprintf(Temp, PATH_MAX, ""%s/%s/tmp/%s.info"", CFG.bbs_usersdir, exitinfo.Name, Atag);"
Name	read	mbsebbs/offline.c	2885	69	exitinfo	exitinfo.Name	"snprintf(Temp, PATH_MAX, ""%s/%s/tmp/%s"", CFG.bbs_usersdir, exitinfo.Name, Pktname);"
Name	read	mbsebbs/offline.c	2938	61	exitinfo	exitinfo.Name	"snprintf(Work, PATH_MAX, ""%s/%s/tmp"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/page.c	210	12	exitinfo	exitinfo.Name	"Chat(exitinfo.Name, (char *)""#sysop"");"
Name	read	mbsebbs/pop3.c	63	62	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/mailbox"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/signature.c	118	68	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/.signature"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/signature.c	167	68	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/.signature"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/signature.c	234	69	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/.signature"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/transfer.c	180	68	exitinfo	exitinfo.Name	"snprintf(symFrom, PATH_MAX, ""%s/%s/tag/%s"", CFG.bbs_usersdir, exitinfo.Name, tmpf->remote);"
Name	read	mbsebbs/transfer.c	242	58	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/tag"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/transfer.c	275	58	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/tag"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/transfer.c	411	61	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/upl"", CFG.bbs_usersdir, exitinfo.Name);"
Name	read	mbsebbs/transfer.c	457	67	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/upl/%s"", CFG.bbs_usersdir, exitinfo.Name, dp->d_name);"
Name	read	mbsebbs/transfer.c	526	66	exitinfo	exitinfo.Name	"snprintf(temp, PATH_MAX, ""%s/%s/upl/%s"", CFG.bbs_usersdir, exitinfo.Name, dp->d_name);"
Name	read	mbsebbs/user.c	197	13	usrconfig	usrconfig.Name	if (strcmp(usrconfig.Name, sUnixName) == 0) {
Name	read	mbsebbs/user.c	229	9	usrconfig	usrconfig.Name	usrconfig.Name, usrconfig.Deleted, usrconfig.LockedOut);
Name	read	mbsebbs/user.c	280	18	usrconfig	usrconfig.Name	UserCity(mypid, usrconfig.Name, usrconfig.sLocation);
Name	read	mbsebbs/user.c	282	18	usrconfig	usrconfig.Name	"UserCity(mypid, usrconfig.Name, (char *)""N/A"");"
Name	read	mbsebbs/user.c	306	24	usrconfig	usrconfig.Name	if (strcmp(fullname, usrconfig.Name) == 0) {
Name	read	mbsebbs/user.c	494	19	exitinfo	exitinfo.Name	ChangeHomeDir(exitinfo.Name, exitinfo.Email);
Name	read	mbsebbs/userlist.c	98	28	u	u.Name	"snprintf(User, 36, ""%s"", u.Name);"
