FIELD	CATEGORY	AUTHORITY	DECISION_STATUS	POSTGRESQL_TABLE	POSTGRESQL_TARGET	KIND	PATH	LINE	COLUMN	VARIABLE	EXPRESSION	SOURCE
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/timestats.c	93	80	exitinfo	exitinfo.iTimeLeft	"snprintf(msg, 81, ""%s %d %s"", (char *) Language(141), exitinfo.iTimeUsed + exitinfo.iTimeLeft, (char *) Language(471));"
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/transfer.c	272	14	exitinfo	exitinfo.iTimeLeft	alarm_set(((exitinfo.iTimeLeft + 10) * 60) - 10);
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/transfer.c	273	10	exitinfo	exitinfo.iTimeLeft	Altime((exitinfo.iTimeLeft + 10) * 60);
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	mbsebbs/user.c	419	2	usrconfig	usrconfig.iTimeLeft	usrconfig.iTimeLeft = 0; /* Could not find limit, so set to Zero */
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	mbsebbs/user.c	431	3	usrconfig	usrconfig.iTimeLeft	usrconfig.iTimeLeft = LIMIT.Time;
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	mbsebbs/user.c	433	3	usrconfig	usrconfig.iTimeLeft	usrconfig.iTimeLeft = 86400;
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/user.c	497	102	exitinfo	exitinfo.iTimeLeft	"Syslog('+', ""Level %d (%s), %d mins. left, port %s"", exitinfo.Security.level, LIMIT.Description, exitinfo.iTimeLeft, pTTY);"
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/user.c	499	16	exitinfo	exitinfo.iTimeLeft	Time2Go += exitinfo.iTimeLeft * 60;
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/user.c	500	21	exitinfo	exitinfo.iTimeLeft	iUserTimeLeft = exitinfo.iTimeLeft;
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsetup/m_users.c	553	19	usrconfig	usrconfig.iTimeLeft	show_int( 16,68, usrconfig.iTimeLeft);
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	mbsetup/m_users.c	758	17	usrconfig	usrconfig.iTimeLeft	usrconfig.iTimeLeft = LIMIT.Time;
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	mbsetup/m_users.c	760	17	usrconfig	usrconfig.iTimeLeft	usrconfig.iTimeLeft = 86400;
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsetup/m_users.c	1087	53	usrconfig	usrconfig.iTimeLeft	"add_webdigit(wp, (char *)""Minutes left today"", usrconfig.iTimeLeft);"
iTimeUsed	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/dispfile.c	468	28	exitinfo	exitinfo.iTimeUsed	"snprintf(temp, 81, ""%d"", exitinfo.iTimeUsed);"
iTimeUsed	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/dispfile.c	504	28	exitinfo	exitinfo.iTimeUsed	"snprintf(temp, 81, ""%d"", exitinfo.iTimeUsed + exitinfo.iTimeLeft);"
iTimeUsed	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read-write	mbsebbs/timecheck.c	111	6	exitinfo	exitinfo.iTimeUsed	exitinfo.iTimeUsed    += Elapsed;
iTimeUsed	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/timestats.c	85	59	exitinfo	exitinfo.iTimeUsed	"snprintf(msg, 81, ""%s %d %s"", (char *) Language(139), exitinfo.iTimeUsed, (char *) Language(471));"
iTimeUsed	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/timestats.c	93	59	exitinfo	exitinfo.iTimeUsed	"snprintf(msg, 81, ""%s %d %s"", (char *) Language(141), exitinfo.iTimeUsed + exitinfo.iTimeLeft, (char *) Language(471));"
iTimeUsed	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	mbsebbs/user.c	420	2	usrconfig	usrconfig.iTimeUsed	usrconfig.iTimeUsed = 0; /* Set to Zero as well  */
iTimeUsed	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	mbsebbs/user.c	434	6	usrconfig	usrconfig.iTimeUsed	usrconfig.iTimeUsed    = 0;          /* Set time used today to Zero       */
iTimeUsed	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	mbsetup/m_users.c	761	13	usrconfig	usrconfig.iTimeUsed	usrconfig.iTimeUsed = 0;
iConnectTime	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/dispfile.c	472	28	exitinfo	exitinfo.iConnectTime	"snprintf(temp, 81, ""%d"", exitinfo.iConnectTime);"
iConnectTime	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/misc.c	202	19	exitinfo	exitinfo.iConnectTime	LCALL.CallTime = exitinfo.iConnectTime;
iConnectTime	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read-write	mbsebbs/timecheck.c	110	6	exitinfo	exitinfo.iConnectTime	exitinfo.iConnectTime += Elapsed;
iConnectTime	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/timestats.c	81	59	exitinfo	exitinfo.iConnectTime	"snprintf(msg, 81, ""%s %d %s"", (char *) Language(138), exitinfo.iConnectTime, (char *) Language(471));"
iConnectTime	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	mbsebbs/user.c	435	6	usrconfig	usrconfig.iConnectTime	"usrconfig.iConnectTime = 0;	     /* Set connect time to Zero          */"
iConnectTime	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	mbsebbs/user.c	449	5	usrconfig	usrconfig.iConnectTime	usrconfig.iConnectTime = 0;
Credit	value-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/offline.c	1241	25	exitinfo	exitinfo.Credit	Inf.credits = le_us(exitinfo.Credit);
Credit	value-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsetup/m_users.c	535	29	usrconfig	usrconfig.Credit	show_int( 14,17,    usrconfig.Credit);
Credit	value-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	mbsetup/m_users.c	860	26	usrconfig	usrconfig.Credit	"case 5 :E_INT( 14,17,   usrconfig.Credit,         ""Users ^Credit^""); break;"
Credit	value-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsetup/m_users.c	1073	41	usrconfig	usrconfig.Credit	"add_webdigit(wp, (char *)""Credit"", usrconfig.Credit);"
Downloads	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/dispfile.c	376	28	exitinfo	exitinfo.Downloads	"snprintf(temp, 81, ""%d"", exitinfo.Downloads);"
Downloads	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/door.c	246	28	exitinfo	exitinfo.Downloads	"fprintf(fp, ""%d\r\n"", exitinfo.Downloads);"
Downloads	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/file.c	245	50	exitinfo	exitinfo.Downloads	"snprintf(local, PATH_MAX, ""./tag/filedesc.%d"", exitinfo.Downloads % 256);"
